date,lang,feature,value,z,n_dreams,n_users
2026-01-31,en,fear_mean,0.487111111111111,3.01,45.0,34.0
2026-01-31,en,sadness_mean,0.4068666666666667,3.57,45.0,34.0
2026-02-01,en,negativity_mean,-0.0242840909090909,-3.2,44.0,30.0
2026-02-01,en,nightmare_index_mean,0.2245984848484848,-3.56,44.0,30.0
2026-02-18,en,fear_mean,0.2286190476190475,-3.68,42.0,36.0
2026-03-19,en,anger_mean,0.3342285714285714,4.22,36.0,29.0
2026-03-21,en,anger_mean,0.3086571428571428,3.56,35.0,32.0
2026-04-04,en,anger_mean,0.3341315789473684,3.95,38.0,31.0
2026-05-10,en,negativity_mean,0.1543048780487804,3.6,41.0,32.0
2026-05-29,en,fear_mean,0.4533529411764706,3.17,34.0,28.0
2026-06-22,en,anger_mean,0.35775,3.06,20.0,15.0
2025-10-26,ru,fear_mean,0.3218461538461538,-3.05,26.0,20.0
2025-11-27,ru,negativity_mean,0.0045925925925925,-3.34,27.0,23.0
2026-02-28,ru,fear_mean,0.3377894736842105,-4.89,20.0,12.0
2026-02-28,ru,anger_mean,0.2854210526315789,-4.39,20.0,12.0
2026-02-28,ru,sadness_mean,0.321,-3.41,20.0,12.0
