week,n_dreams,n_users,obs,null_mean,excess,z,p
2024-03-25,195,106,0.22649003347394678,0.2777480295133769,-0.051257996039430126,-3.3979413511457723,1.0
2024-04-01,74,35,0.3120479522468311,0.26650062620173737,0.045547326045093706,1.550967322402804,0.07492507492507493
2024-04-08,80,49,0.26524650182217596,0.264274635850525,0.0009718659716509426,0.04333670218935859,0.4805194805194805
2024-04-15,81,50,0.2501774171672966,0.2594863888925432,-0.00930897172524664,-0.40582253682576974,0.6523476523476524
2024-04-22,143,81,0.24806148049910537,0.2567799069311379,-0.008718426432032522,-0.4966781853785928,0.6973026973026973
2024-04-29,102,61,0.2672722541522846,0.2545568627380552,0.012715391414229393,0.5897678011642776,0.2597402597402597
2024-05-06,84,55,0.28833543043848264,0.25219157574880935,0.036143854689673294,1.7021334531937569,0.04495504495504495
2024-05-13,142,89,0.2917066300733428,0.25177707143756445,0.03992955863577835,2.2852113985255746,0.01898101898101898
2024-05-20,133,72,0.28342961098682334,0.2527487102682072,0.030680900718616122,1.598964618384228,0.052947052947052944
2024-05-27,116,58,0.2808953689851955,0.2561881185354716,0.02470725044972394,1.1524924305178208,0.11988011988011989
2024-06-03,129,85,0.22960679070784284,0.2572290394206008,-0.02762224871275798,-1.7058260661559452,0.954045954045954
2024-06-10,194,105,0.2305681350078675,0.25704893267058354,-0.02648079766271605,-1.6951071638281252,0.9630369630369631
2024-06-17,120,81,0.22268673827147378,0.2587767853376124,-0.03609004706613861,-2.074698286779753,0.985014985014985
2024-06-24,143,85,0.24943182164693598,0.25633885650397903,-0.006907034857043054,-0.401383697737207,0.6533466533466533
2024-07-01,106,63,0.26827345225333293,0.2532935882642011,0.014979863989131814,0.7344197585056024,0.22577422577422576
2024-07-08,94,61,0.24845910116083791,0.25524258856344506,-0.006783487402607147,-0.3248262533928322,0.6173826173826173
2024-07-15,119,75,0.27445280803268624,0.25300897472024964,0.0214438333124366,1.120458206803683,0.14285714285714285
2024-07-22,107,73,0.23815275218491938,0.2552917158750133,-0.017138963690093934,-0.843434939160296,0.7862137862137862
2024-07-29,111,61,0.2560561716944035,0.25447116859598096,0.0015850030984225216,0.07408325047886576,0.46053946053946054
2024-08-05,166,86,0.244750845622133,0.2625796546644532,-0.017828809042320204,-0.9638480923512891,0.8441558441558441
2024-08-12,223,116,0.2775760439623927,0.2629627075679479,0.014613336394444842,0.9577399766051661,0.17382617382617382
2024-08-19,139,78,0.23575887101921114,0.27162684989889607,-0.03586797887968493,-1.846655131966861,0.968031968031968
2024-08-26,140,79,0.23977398482399664,0.275257273010832,-0.03548328818683538,-1.8680950983682816,0.973026973026973
2024-09-02,156,80,0.2887654584289706,0.26999093196004575,0.018774526468924857,0.9877576032345201,0.16983016983016982
2024-09-09,135,80,0.2834926110948441,0.2739364016802601,0.00955620941458396,0.5097234007737949,0.2937062937062937
2024-09-16,137,83,0.28152828382364964,0.27745558082479055,0.00407270299885909,0.21507638179723887,0.4065934065934066
2024-09-23,118,66,0.29152179049814125,0.2806170822739002,0.010904708224241055,0.5189140832189191,0.3006993006993007
2024-09-30,127,78,0.34430077023082273,0.277797400210664,0.06650337002015871,3.515374758786823,0.001998001998001998
2024-10-07,151,95,0.25910838528325225,0.2867757047257185,-0.027667319442466254,-1.555879571582278,0.9460539460539461
2024-10-14,171,99,0.2935488147821843,0.28207131638107796,0.011477498401106345,0.6606879752441376,0.25274725274725274
2024-10-21,129,75,0.32505954239626694,0.2853364969437566,0.03972304545251032,2.028722218721222,0.02197802197802198
2024-10-28,111,81,0.2495536103633616,0.29478152072300956,-0.04522791035964796,-2.281884775358653,0.993006993006993
2024-11-04,112,73,0.31129518102155357,0.2924817180718074,0.018813462949746174,0.9614592591025445,0.16383616383616384
2024-11-11,135,78,0.31944085235954756,0.2926375717898201,0.026803280569727472,1.318614688289242,0.0989010989010989
2024-11-18,138,79,0.28867747231245217,0.29681151376611214,-0.00813404145365998,-0.4254695415047392,0.6533466533466533
2024-11-25,133,79,0.28813416879313003,0.29569104743806185,-0.007556878644931819,-0.377673654549219,0.6333666333666333
2024-12-02,109,75,0.2827846080418396,0.29274150251217473,-0.009956894470335154,-0.5008843867859759,0.6853146853146853
2024-12-09,130,81,0.2660578745007871,0.2953000211772853,-0.029242146676498215,-1.4721006340915435,0.9370629370629371
2024-12-16,117,67,0.3167763816903881,0.292281975519293,0.02449440617109505,1.1969397098750398,0.12287712287712288
2024-12-23,111,71,0.2753298955099036,0.29152255250406256,-0.01619265699415895,-0.7901974766399664,0.7872127872127872
2024-12-30,141,82,0.33279369226021377,0.29084576536843015,0.041947926891783616,2.1479348864581884,0.02097902097902098
2025-01-06,138,88,0.3006243386697951,0.2915207516521076,0.009103587017687487,0.47380939345696854,0.3206793206793207
2025-01-13,126,68,0.30252743218130435,0.29010551954831265,0.012421912632991694,0.5881096184913255,0.27372627372627373
2025-01-20,166,99,0.28581581317792765,0.2890141673759224,-0.003198354197994746,-0.18577730586768235,0.5704295704295704
2025-01-27,144,95,0.2897830199865957,0.2881300371705777,0.0016529828160180005,0.09291694705396887,0.44955044955044954
2025-02-03,112,84,0.2750263000233018,0.2911470129983621,-0.016120712975060292,-0.8331121627435953,0.7832167832167832
2025-02-10,128,78,0.2917224347550174,0.2924155824322132,-0.0006931476771958045,-0.034145580364372645,0.5234765234765235
2025-02-17,135,82,0.2815008022894927,0.2939588319571952,-0.012458029667702486,-0.651536111444921,0.7482517482517482
2025-02-24,157,95,0.2896642367141328,0.29251433732278953,-0.002850100608656758,-0.14929699453302273,0.5474525474525475
2025-03-03,144,81,0.27091359216414035,0.2946881782515308,-0.02377458608739047,-1.1693280253523668,0.8821178821178821
2025-03-10,174,105,0.29572425278350345,0.29308896476694846,0.002635288016554993,0.15550545864009413,0.43456543456543456
2025-03-17,169,104,0.2702878655249894,0.2957324236971785,-0.025444558172189102,-1.4067383709728378,0.9180819180819181
2025-03-24,174,110,0.28065859866706055,0.2979703721101239,-0.01731177344306334,-0.9616124288767374,0.8301698301698301
2025-03-31,160,98,0.30544481347217617,0.3006231414947989,0.004821671977377262,0.25263867690871056,0.4025974025974026
2025-04-07,189,108,0.3284353734872315,0.300991524124882,0.027443849362349504,1.535540058060609,0.06293706293706294
2025-04-14,202,129,0.2989898315364265,0.30255604487868726,-0.00356621334226076,-0.21427571984488847,0.5844155844155844
2025-04-21,194,121,0.2730695467571602,0.30418085288604985,-0.031111306128889626,-1.8638072428460108,0.961038961038961
2025-04-28,374,234,0.3129906252131481,0.3006997835131278,0.01229084170002026,1.0713381244380644,0.14385614385614387
2025-05-05,275,173,0.3031803039638416,0.3041373308104131,-0.000957026846571507,-0.07067851264670534,0.5214785214785215
2025-05-12,399,226,0.3089393179718757,0.30451715444152583,0.004422163530349854,0.3760471938193343,0.33966033966033965
2025-05-19,468,282,0.31496524152039246,0.3048168039822886,0.01014843753810385,0.969929845605653,0.16483516483516483
2025-05-26,360,201,0.33315350477276007,0.30566772705685513,0.027485777715904935,2.182191835074397,0.01098901098901099
2025-06-02,235,144,0.3007927240459303,0.30808569998007895,-0.007292975934148627,-0.4713858123053924,0.6713286713286714
2025-06-09,204,127,0.3192812124768769,0.30649156661401505,0.012789645862861854,0.761702273451999,0.22577422577422576
2025-06-16,166,118,0.2868457106481739,0.3093856457450717,-0.022539935096897834,-1.2937112246778424,0.9140859140859141
2025-06-23,159,110,0.2703207636634038,0.3119070717991349,-0.04158630813573111,-2.3324582621561207,0.99000999000999
2025-06-30,202,129,0.3279893272969744,0.3064703299169835,0.021518997379990912,1.3381819045597334,0.09490509490509491
2025-07-07,184,123,0.3117460687739855,0.30666747054491056,0.005078598229074915,0.31410721998940494,0.36363636363636365
2025-07-14,174,111,0.29034590432860274,0.30913839220931605,-0.018792487880713304,-1.106840686578925,0.8561438561438561
2025-07-21,174,110,0.317175464524767,0.3073949777980042,0.00978048672676285,0.5706810391423415,0.26873126873126874
2025-07-28,176,121,0.31373642674260055,0.30384109712407326,0.009895329618527293,0.6272954114369771,0.24775224775224775
2025-08-04,203,108,0.31658388642916113,0.3059979621152502,0.010585924313910922,0.6126361023200781,0.2707292707292707
2025-08-11,215,126,0.32397069977153675,0.30547857361955305,0.0184921261519837,1.2055690157389818,0.12187812187812187
2025-08-18,214,138,0.2901772195719156,0.30908387009074784,-0.018906650518832224,-1.215629726119005,0.8901098901098901
2025-08-25,216,136,0.29221525415614913,0.3100779776759163,-0.0178627235197672,-1.1951202518811337,0.8981018981018981
2025-09-01,261,156,0.28359696894686387,0.30947628235620117,-0.0258793134093373,-1.8844893495691122,0.972027972027972
2025-09-08,221,130,0.33458065571257417,0.3045212801186298,0.030059375593944393,1.8336980083744294,0.03596403596403597
2025-09-15,205,118,0.31452057063703165,0.3069955052408251,0.007525065396206565,0.4610822574744904,0.3096903096903097
2025-09-22,210,127,0.2966641810040767,0.3071389607657899,-0.010474779761713182,-0.6576287285803903,0.7282717282717283
2025-09-29,186,113,0.3263131704321696,0.3047144745166604,0.021598695915509225,1.287556824854478,0.0969030969030969
2025-10-06,261,136,0.3250423358709844,0.30431738883940557,0.020724947031578844,1.3564583966564288,0.08591408591408592
2025-10-13,285,156,0.3062856866885381,0.3047507650462356,0.0015349216423025114,0.10450905118475767,0.4595404595404595
2025-10-20,297,172,0.2995940052910514,0.30678694067176093,-0.007192935380709531,-0.5087584752890015,0.6993006993006993
2025-10-27,229,138,0.2952654651959704,0.30606242159583946,-0.010796956399869051,-0.6898993412092451,0.7382617382617382
2025-11-03,241,148,0.29748175170424596,0.3064542356639037,-0.008972483959657718,-0.585576989866802,0.7132867132867133
2025-11-10,281,150,0.3113329891691972,0.3058464980719578,0.005486491097239421,0.3630037746747846,0.35764235764235763
2025-11-17,267,156,0.2956893154782787,0.30477110785422984,-0.009081792375951137,-0.6397809314188687,0.7312687312687313
2025-11-24,256,150,0.2940730051364309,0.30761955773899724,-0.01354655260256632,-0.9065108651044449,0.8151848151848152
2025-12-01,296,139,0.3232574240824207,0.3057799974263988,0.01747742665602192,1.0793693465857024,0.1258741258741259
2025-12-08,289,159,0.3100153428680627,0.30517917803196826,0.004836164836094448,0.3201972731412665,0.3836163836163836
2025-12-15,267,147,0.310738319716198,0.3020474804588804,0.008690839257317562,0.5846406817300425,0.2777222777222777
2025-12-22,249,175,0.2797145248026284,0.3050289071058213,-0.02531438230319294,-1.850321235863499,0.97002997002997
2025-12-29,278,171,0.3092829882729432,0.3034074601307311,0.005875528142212094,0.415954994680139,0.3336663336663337
2026-01-05,315,181,0.3227465296924247,0.3044441022576989,0.018302427434725765,1.3199395958187083,0.0919080919080919
2026-01-12,306,178,0.2913672114696414,0.3080908427556848,-0.016723631286043428,-1.1741981066406038,0.8881118881118881
2026-01-19,352,198,0.3206432412755736,0.3076846107634731,0.0129586305121005,0.998018656873081,0.15184815184815184
2026-01-26,317,196,0.3015196206876706,0.31055667141868915,-0.00903705073101857,-0.6871418485961417,0.7672327672327672
