theta,giant_frac,n_components,mean_degree,n_singletons
0.02,1.0,1.0,4734.910800000001,0.0
0.05,1.0,1.0,4558.128933333333,0.0
0.08,1.0,1.0,4319.834933333334,0.0
0.11,1.0,1.0,4022.152,0.0
0.14,1.0,1.0,3676.223066666667,0.0
0.17,1.0,1.0,3299.6253333333334,0.0
0.2,1.0,1.0,2911.9668,0.0
0.23,1.0,1.0,2531.1283999999996,0.0
0.26,1.0,1.0,2171.3392,0.0
0.29,1.0,1.0,1841.2250666666666,0.0
0.32,1.0,1.0,1542.5492000000002,0.0
0.35,0.9998,2.0,1274.2485333333334,1.0
0.38,0.9988,7.0,1032.783333333333,6.0
0.41,0.9966666666666666,17.333333333333332,816.5409333333333,16.0
0.44,0.9916666666666667,41.666666666666664,624.3542666666667,39.666666666666664
0.47,0.9771333333333333,109.33333333333333,458.18080000000003,104.33333333333333
0.5,0.9514,230.66666666666666,319.6741333333334,220.0
0.53,0.9026,465.0,210.0197333333333,446.6666666666667
0.56,0.8285333333333332,807.3333333333334,128.98986666666667,766.6666666666666
0.59,0.7288666666666668,1267.3333333333333,73.35466666666667,1202.6666666666667
0.62,0.6188666666666666,1782.6666666666667,38.20066666666667,1696.6666666666667
0.65,0.501,2336.6666666666665,18.130533333333332,2230.0
0.68,0.4003333333333334,2845.6666666666665,7.732666666666667,2737.6666666666665
0.71,0.29273333333333335,3400.6666666666665,2.922133333333333,3298.6666666666665
0.74,0.171,3969.6666666666665,1.0114666666666665,3859.3333333333335
0.77,0.06986666666666667,4485.0,0.3172,4374.0
0.8,0.006066666666666667,4794.0,0.09773333333333334,4696.333333333333
0.83,0.0014666666666666667,4917.666666666667,0.036000000000000004,4857.666666666667
0.86,0.0008666666666666666,4952.666666666667,0.020133333333333333,4910.666666666667
0.89,0.0006,4963.666666666667,0.0152,4929.333333333333
