freq,dream,signal,n,r_level,p_level,r_adj,p_adj,r_diff,p_diff,q_adj
W,fear,vix,120,0.16444911996460168,0.30833333333333335,0.007433943626089101,0.9416666666666667,0.06456066890625112,0.4789915966386555,0.9583333333333334
W,fear,epu,120,0.5651031569713301,0.016666666666666666,0.2504506803198773,0.175,0.2279254140323661,0.05042016806722689,0.9583333333333334
W,fear,hy_spread,120,-0.233437849310765,0.09166666666666666,-0.04658325928632482,0.75,0.08148706437322467,0.36134453781512604,0.9583333333333334
W,fear,yield_2s10s,120,0.6881959306670618,0.008333333333333333,0.2889467002356218,0.23333333333333334,-0.005429416534086067,0.9747899159663865,
W,fear,dff,120,-0.6534561437939368,0.008333333333333333,-0.08979420142099613,0.6833333333333333,0.037325246695942255,0.5210084033613446,
W,fear,sp500_ret,120,0.04912006795959469,0.525,0.02699445925115338,0.7416666666666667,0.005229227357505328,0.957983193277311,
W,fear,dollar,120,-0.35790375406711156,0.6333333333333333,0.07242559059366237,0.7666666666666667,-0.015303668351650389,0.8907563025210085,
W,nightmare_index,vix,120,0.15190121770369544,0.3333333333333333,-0.023015097167704564,0.7833333333333333,0.055479827651550545,0.5042016806722689,0.9583333333333334
W,nightmare_index,epu,120,0.46987231999584206,0.09166666666666666,0.0523472890713899,0.7583333333333333,0.08033645396628879,0.5294117647058824,0.9583333333333334
W,nightmare_index,hy_spread,120,-0.21715912677331073,0.14166666666666666,-0.008081387456272215,0.9583333333333334,0.13230047944560538,0.10084033613445378,0.9583333333333334
W,nightmare_index,yield_2s10s,120,0.6620709788684356,0.008333333333333333,0.15331412847494028,0.3333333333333333,-0.050305657332149444,0.4957983193277311,
W,nightmare_index,dff,120,-0.6709186047111874,0.008333333333333333,-0.007376519958180525,0.9583333333333334,-0.01473441002984903,0.8319327731092437,
W,nightmare_index,sp500_ret,120,0.008305438301688063,0.9583333333333334,-0.031210734933119856,0.775,-0.0862273093147129,0.4117647058823529,
W,nightmare_index,dollar,120,-0.4202886004672194,0.3333333333333333,0.006540393027253387,0.9666666666666667,-0.010351768417262937,0.907563025210084,
W,threat,vix,120,0.1731576643086507,0.2916666666666667,-0.01395078801619354,0.9083333333333333,0.11393870430423568,0.15966386554621848,0.9583333333333334
W,threat,epu,120,0.569353789275346,0.041666666666666664,0.16887652439935674,0.36666666666666664,0.19503347209818211,0.10084033613445378,0.9583333333333334
W,threat,hy_spread,120,-0.23097497961691968,0.14166666666666666,-0.03135357239377977,0.8,0.1481817419696329,0.06722689075630252,0.9583333333333334
W,threat,yield_2s10s,120,0.7495078238995283,0.008333333333333333,0.2545274985317633,0.3,-0.024870560938302786,0.773109243697479,
W,threat,dff,120,-0.7177876897984247,0.008333333333333333,-0.012942082460261819,0.9333333333333333,0.013355493919461668,0.8823529411764706,
W,threat,sp500_ret,120,0.047748413719155815,0.45,0.011832543208798806,0.8916666666666667,-0.044705201954641276,0.6890756302521008,
W,threat,dollar,120,-0.46898793166977726,0.5083333333333333,0.006478306639388031,0.9666666666666667,0.012532685689827369,0.8739495798319328,
W,sentiment,vix,120,-0.04250379895611068,0.7583333333333333,-0.16646967582640051,0.14166666666666666,-0.03963449782460832,0.6638655462184874,
W,sentiment,epu,120,0.30731791047060775,0.35833333333333334,0.03339483539059081,0.825,-0.013511434463484014,0.8991596638655462,
W,sentiment,hy_spread,120,-0.15170891249166682,0.18333333333333332,-0.1292628460102211,0.35833333333333334,-0.1831660852679598,0.03361344537815126,
W,sentiment,yield_2s10s,120,0.41220992566506715,0.3416666666666667,0.05568235312262991,0.6916666666666667,-0.031048120962273485,0.6890756302521008,
W,sentiment,dff,120,-0.35653174526989173,0.31666666666666665,-0.024318871271697007,0.9,0.10789076111839167,0.1092436974789916,
W,sentiment,sp500_ret,120,0.11083341929439709,0.15833333333333333,0.06927885599048242,0.5,0.15437455761526422,0.15126050420168066,
W,sentiment,dollar,120,-0.3173710740773814,0.55,-0.010448541789739916,0.9416666666666667,0.07129107630201367,0.4117647058823529,
M,fear,vix,29,0.21009874402138967,0.3448275862068966,-0.046587247350859506,0.8620689655172413,-0.1607894797593463,0.35714285714285715,0.896551724137931
M,fear,epu,29,0.6299453805424533,0.034482758620689655,0.16383265727956092,0.7241379310344828,-0.16293507756645778,0.35714285714285715,0.896551724137931
M,fear,hy_spread,29,-0.3591385959811689,0.034482758620689655,-0.15855030788247337,0.5172413793103449,-0.2121036098784504,0.21428571428571427,0.896551724137931
M,fear,yield_2s10s,29,0.8251084414039985,0.034482758620689655,0.3531766701075653,0.4482758620689655,0.1315817843173977,0.6071428571428571,
M,fear,dff,29,-0.7890020494927492,0.034482758620689655,-0.06928482051252861,0.9310344827586207,-0.044374402756046726,0.8214285714285714,
M,fear,sp500_ret,29,0.048694092616521564,0.6896551724137931,0.009896069750112799,0.9310344827586207,-0.009370319463253186,0.9285714285714286,
M,fear,dollar,29,-0.3251444994719546,0.6896551724137931,0.28209289924058684,0.3793103448275862,0.04844608562369271,0.7857142857142857,
M,nightmare_index,vix,29,0.19391040856883004,0.3448275862068966,-0.11565351168590018,0.5862068965517241,-0.006117816061435939,0.9642857142857143,0.896551724137931
M,nightmare_index,epu,29,0.5707069932518103,0.13793103448275862,-0.05228011434349992,0.8620689655172413,-0.1716503472259262,0.32142857142857145,0.896551724137931
M,nightmare_index,hy_spread,29,-0.3596028747003765,0.06896551724137931,-0.15372008922486813,0.3448275862068966,-0.06382851783596483,0.5357142857142857,0.896551724137931
M,nightmare_index,yield_2s10s,29,0.809793578920679,0.034482758620689655,0.19489615000156002,0.5172413793103449,0.13763918269798123,0.5,
M,nightmare_index,dff,29,-0.8111924054344901,0.034482758620689655,0.0776824175405924,0.7586206896551724,-0.001493807246728314,0.9642857142857143,
M,nightmare_index,sp500_ret,29,0.12925903242578637,0.3103448275862069,0.16232022040820712,0.3448275862068966,0.21556374038982684,0.2857142857142857,
M,nightmare_index,dollar,29,-0.4129558896986267,0.5862068965517241,0.1810956958040536,0.41379310344827586,0.10707713185285152,0.5714285714285714,
M,threat,vix,29,0.19881421663063767,0.3448275862068966,-0.12144423128032324,0.4827586206896552,-0.07613255371451305,0.6428571428571429,0.896551724137931
M,threat,epu,29,0.6217753354197642,0.1724137931034483,0.0548987553092961,0.896551724137931,-0.19583883029831758,0.2857142857142857,0.896551724137931
M,threat,hy_spread,29,-0.3502683453065386,0.06896551724137931,-0.14679575624288185,0.5517241379310345,-0.13469621760195538,0.35714285714285715,0.896551724137931
M,threat,yield_2s10s,29,0.8486791384457313,0.034482758620689655,0.30031481172153573,0.5517241379310345,0.18185416088981013,0.42857142857142855,
M,threat,dff,29,-0.8177407781293403,0.034482758620689655,0.07772038661464514,0.7931034482758621,0.011480440147232504,0.9285714285714286,
M,threat,sp500_ret,29,0.08230498524644388,0.3793103448275862,0.06620469963892174,0.5862068965517241,0.06273277685630649,0.75,
M,threat,dollar,29,-0.44222727802865686,0.6551724137931034,0.13682339321591425,0.4827586206896552,0.016035163438320663,0.8928571428571429,
M,sentiment,vix,29,-0.10527176014582815,0.7241379310344828,-0.3296031234720527,0.10344827586206896,-0.35053154863002056,0.14285714285714285,
M,sentiment,epu,29,0.4298542591958603,0.4827586206896552,0.10915868964386588,0.7241379310344828,-0.05002939284582976,0.7142857142857143,
M,sentiment,hy_spread,29,-0.16286474238167636,0.3448275862068966,-0.08992048832419214,0.7931034482758621,-0.17336890238521807,0.39285714285714285,
M,sentiment,yield_2s10s,29,0.477761147452071,0.4482758620689655,0.05496789640574015,0.896551724137931,0.09960396004711349,0.6785714285714286,
M,sentiment,dff,29,-0.44026479105854077,0.41379310344827586,-0.07483955071083717,0.8275862068965517,-0.22426288545127251,0.14285714285714285,
M,sentiment,sp500_ret,29,0.0029144410454283935,0.9655172413793104,-0.056711928154707325,0.7586206896551724,-0.15204351403885566,0.5,
M,sentiment,dollar,29,-0.49708424041462573,0.4827586206896552,-0.2800704309691901,0.4827586206896552,-0.09775441778491185,0.5357142857142857,
