week,n,dispersion,logn
2024-03-18,32,0.4831170439720154,3.4657359027997265
2024-03-25,195,0.5866959691047668,5.272999558563747
2024-04-01,74,0.5249409079551697,4.30406509320417
2024-04-08,80,0.49605029821395874,4.382026634673881
2024-04-15,81,0.5195640325546265,4.394449154672439
2024-04-22,143,0.5574349462985992,4.962844630259907
2024-04-29,102,0.513286828994751,4.624972813284271
2024-05-06,84,0.5061635971069336,4.430816798843313
2024-05-13,142,0.5279842913150787,4.955827057601261
2024-05-20,133,0.5445798635482788,4.890349128221754
2024-05-27,116,0.5273179411888123,4.7535901911063645
2024-06-03,129,0.5561315715312958,4.859812404361672
2024-06-10,194,0.5686050057411194,5.267858159063328
2024-06-17,120,0.5594979524612427,4.787491742782046
2024-06-24,143,0.5437139868736267,4.962844630259907
2024-07-01,106,0.5324313938617706,4.663439094112067
2024-07-08,94,0.5442382395267487,4.543294782270004
2024-07-15,119,0.522035539150238,4.77912349311153
2024-07-22,107,0.5326526463031769,4.672828834461906
2024-07-29,111,0.5568345785140991,4.709530201312334
2024-08-05,166,0.5712051391601562,5.111987788356544
2024-08-12,223,0.5320030152797699,5.407171771460119
2024-08-19,139,0.5567367970943451,4.9344739331306915
2024-08-26,140,0.5523701608181,4.941642422609304
2024-09-02,156,0.5225127637386322,5.049856007249537
2024-09-09,135,0.5074609220027924,4.90527477843843
2024-09-16,137,0.5043596029281616,4.919980925828125
2024-09-23,118,0.5184670090675354,4.770684624465665
2024-09-30,127,0.46035897731781006,4.844187086458591
2024-10-07,151,0.5185653865337372,5.017279836814924
2024-10-14,171,0.5028493702411652,5.14166355650266
2024-10-21,129,0.47470664978027344,4.859812404361672
2024-10-28,111,0.5312454998493195,4.709530201312334
2024-11-04,112,0.48633378744125366,4.718498871295094
2024-11-11,135,0.5012637674808502,4.90527477843843
2024-11-18,138,0.5092298090457916,4.927253685157205
2024-11-25,133,0.5105344653129578,4.890349128221754
2024-12-02,109,0.5015879273414612,4.6913478822291435
2024-12-09,130,0.5148477852344513,4.867534450455582
2024-12-16,117,0.48234111070632935,4.762173934797756
2024-12-23,111,0.5279950797557831,4.709530201312334
2024-12-30,141,0.4779871702194214,4.948759890378168
2025-01-06,138,0.49493342638015747,4.927253685157205
2025-01-13,126,0.5011619031429291,4.836281906951478
2025-01-20,166,0.49824321269989014,5.111987788356544
2025-01-27,144,0.48852968215942383,4.969813299576001
2025-02-03,112,0.4927595853805542,4.718498871295094
2025-02-10,128,0.49431443214416504,4.852030263919617
2025-02-17,135,0.5217711329460144,4.90527477843843
2025-02-24,157,0.4959487318992615,5.056245805348308
2025-03-03,144,0.5375330150127411,4.969813299576001
2025-03-10,174,0.49793189764022827,5.159055299214529
2025-03-17,169,0.5276204943656921,5.1298987149230735
2025-03-24,174,0.5101246535778046,5.159055299214529
2025-03-31,160,0.4809762239456177,5.075173815233827
2025-04-07,189,0.481758713722229,5.241747015059643
2025-04-14,202,0.4914471507072449,5.308267697401205
2025-04-21,194,0.5145936608314514,5.267858159063328
2025-04-28,374,0.4793909192085266,5.924255797414532
2025-05-05,275,0.48694491386413574,5.616771097666572
2025-05-12,399,0.49222344160079956,5.988961416889864
2025-05-19,468,0.4963296055793762,6.148468295917647
2025-05-26,360,0.4690210819244385,5.886104031450156
2025-06-02,235,0.49394720792770386,5.459585514144159
2025-06-09,204,0.47503161430358887,5.318119993844216
2025-06-16,166,0.48968392610549927,5.111987788356544
2025-06-23,159,0.5195025503635406,5.0689042022202315
2025-06-30,202,0.4714686870574951,5.308267697401205
2025-07-07,184,0.4818657636642456,5.214935757608986
2025-07-14,174,0.49721604585647583,5.159055299214529
2025-07-21,174,0.4831898808479309,5.159055299214529
2025-07-28,176,0.4757564663887024,5.170483995038151
2025-08-04,203,0.4995576739311218,5.313205979041787
2025-08-11,215,0.4870256781578064,5.3706380281276624
2025-08-18,214,0.500275731086731,5.365976015021851
2025-08-25,216,0.4999873638153076,5.375278407684165
2025-09-01,261,0.5056092739105225,5.564520407322694
2025-09-08,221,0.4683479070663452,5.3981627015177525
2025-09-15,205,0.48406708240509033,5.3230099791384085
2025-09-22,210,0.48239564895629883,5.3471075307174685
2025-09-29,186,0.4751519560813904,5.225746673713202
2025-10-06,261,0.49296748638153076,5.564520407322694
2025-10-13,285,0.4813781976699829,5.652489180268651
2025-10-20,297,0.4997478723526001,5.6937321388027
2025-10-27,229,0.49437910318374634,5.43372200355424
2025-11-03,241,0.4847879409790039,5.484796933490655
2025-11-10,281,0.48398685455322266,5.638354669333745
2025-11-17,267,0.4946386218070984,5.58724865840025
2025-11-24,256,0.49962949752807617,5.545177444479562
