lang,nights,excess,ci_lo,ci_hi,frac_pos,sign_p
en,601,0.0008250019456102364,-0.002116540711748394,0.003726051770189994,0.49750415973377704,0.5647964196434527
ru,65,0.0139964548056893,0.00432607474437174,0.02380176725297837,0.6615384615384615,0.006251273068244922
all,620,0.0004626539088897792,-0.002156886227500182,0.002976331045529667,0.48870967741935484,0.7265336402111588
