method,users,test,top1,top5,mrr,chance1,lift1,perm_p,null1_mean,lang,n_dup_dropped
MiniLM,331,4719,0.1354100445009536,0.3045136681500318,0.2241817489895238,0.0030211480362537764,44.82072472981564,0.000999000999000999,0.0038722186904005087,en,9.0
MiniLM,90,1014,0.13214990138067062,0.3244575936883629,0.24485833880310903,0.011111111111111112,11.893491124260356,0.000999000999000999,0.012159763313609467,ru,1.0
MiniLM,431,5875,0.112,0.26604255319148934,0.19482697132162238,0.002320185614849188,48.272000000000006,0.000999000999000999,0.0028008510638297874,all,9.0
char-tfidf,331,4719,0.3085399449035813,0.5022250476795931,0.4043923622280943,0.0030211480362537764,102.1267217630854,0.000999000999000999,0.005186904005085823,en,
