month,n,mean_pairwise_dist,participation_ratio,log_gen_var
2024-03,128,0.5296959340572357,37.52000604119601,-51.66671
2024-04,159,0.4841514730453491,36.521693016751506,-52.02133
2024-05,195,0.5058198010921479,36.766891543739376,-51.88595
2024-06,179,0.5155753660202026,36.78679382059885,-52.140457
2024-07,168,0.523280600309372,38.121744451998374,-52.151646
2024-08,265,0.538747718334198,37.95143717404766,-51.960114
2024-09,283,0.5047078061103821,37.55749289048393,-52.420673
2024-10,247,0.4869109845161438,36.445903657077025,-52.142593
2024-11,252,0.4826306879520416,37.88988095461023,-52.044174
2024-12,268,0.4928665268421173,36.68009202709955,-52.301857
2025-01,272,0.48819987297058104,37.69908296512026,-52.12179
2025-02,218,0.48768881559371946,37.94856803220013,-52.09275
2025-03,198,0.50822625041008,39.01372776662143,-52.393322
2025-04,194,0.48933631539344785,37.65825391260653,-51.986607
2025-05,191,0.47055031061172486,37.57868177956925,-52.11421
2025-06,183,0.4841622257232666,37.57590565957472,-52.03268
2025-07,189,0.4662641167640686,37.47755398703151,-52.212505
2025-08,221,0.4614429521560669,37.032900261353035,-52.22444
2025-09,198,0.4613258099555969,38.583075750621006,-52.2384
2025-10,227,0.46420270919799805,38.22573271248644,-51.989906
2025-11,156,0.4509086012840271,37.12872226816511,-52.149364
2025-12,167,0.4727749752998352,36.03049226336765,-51.6156
2026-01,214,0.46328574180603027,36.44046821860413,-51.756153
2026-02,155,0.46545752048492434,37.82876864712986,-51.880447
2026-03,127,0.4619830799102783,36.22890159239555,-52.674862
2026-04,124,0.4626283001899719,38.857751697122964,-52.09668
2026-05,125,0.4736215162277222,36.590604781028595,-52.271923
2026-06,129,0.5112088704109192,32.4063169785658,-50.492554
